,electorates,postcode
1051,Mallee,3500
1052,Mallee,3501
1053,,3502
1054,Mallee,3505
1055,Mallee,3506
1056,Mallee,3507
1057,Mallee,3509
1058,Mallee,3512
1059,Bendigo,3515
1060,"Bendigo, Murray",3516
1061,Murray,3517
1062,"Murray, Mallee",3518
1063,Murray,3520
1064,McEwen,3521
1065,"Bendigo, McEwen",3522
1066,"Bendigo, Murray",3523
1067,"Mallee, Murray",3525
1068,"Mallee, Murray",3527
1069,Mallee,3529
1070,Mallee,3530
1071,Mallee,3531
1072,Mallee,3533
1073,"Murray, Mallee",3537
1074,Mallee,3540
1075,Mallee,3542
1076,Mallee,3544
1077,Mallee,3546
1078,Mallee,3549
1079,Bendigo,3550
1080,"Bendigo, Murray",3551
1081,,3552
1082,,3554
1083,Bendigo,3555
1084,"Bendigo, Murray",3556
1085,"Bendigo, Murray",3557
1086,"Bendigo, Murray",3558
1087,"Bendigo, Murray",3559
1088,Murray,3561
1089,Murray,3562
1090,Murray,3563
1091,Murray,3564
1092,Murray,3565
1093,Murray,3566
1094,"Mallee, Murray",3567
1095,Mallee,3568
1096,"Murray, Bendigo",3570
1097,Murray,3571
1098,Murray,3572
1099,Murray,3573
1100,Murray,3575
1101,Murray,3576
1102,"Mallee, Murray",3579
1103,Mallee,3580
1104,Mallee,3581
1105,Mallee,3583
1106,Mallee,3584
1107,"Mallee, Farrer",3585
1108,"Mallee, Farrer",3586
1109,Mallee,3588
1110,Mallee,3589
1111,Mallee,3590
1112,Mallee,3591
1113,Mallee,3594
1114,Mallee,3595
1115,Mallee,3596
1116,Mallee,3597
1117,Mallee,3599
1118,Murray,3607
1119,Murray,3608
1120,Murray,3610
1121,Murray,3612
1122,Murray,3614
1123,Murray,3616
1124,Murray,3617
1125,Murray,3618
1126,,3619
1127,Murray,3620
1128,Murray,3621
1129,Murray,3622
1130,Murray,3623
1131,Murray,3624
1132,Murray,3629
1133,Murray,3630
1134,Murray,3631
1135,,3632
1136,Murray,3633
1137,Murray,3634
1138,Murray,3635
1139,Murray,3636
1140,Murray,3637
1141,Murray,3638
1142,Murray,3639
1143,Murray,3640
1144,Murray,3641
1145,,3643
1146,"Farrer, Murray",3644
1147,"Murray, Indi",3646
1148,Murray,3647
1149,Murray,3649
1150,"McEwen, Indi",3658
1151,McEwen,3659
1152,"Indi, McEwen",3660
1153,,3661
1154,McEwen,3662
1155,"McEwen, Murray",3663
1156,"McEwen, Murray",3664
1157,Murray,3665
1158,"Murray, Indi, McEwen",3666
1159,"Indi, Murray",3669
1160,"Indi, Murray",3670
1161,,3671
1162,Indi,3672
1163,Indi,3673
1164,Indi,3675
1165,,3676
1166,Indi,3677
1167,Indi,3678
1168,Indi,3682
1169,Indi,3683
1170,Indi,3685
1171,Indi,3687
1172,Indi,3688
1173,,3689
1174,Indi,3690
1175,"Indi, Farrer",3691
1176,,3694
1177,Indi,3695
1178,Indi,3697
1179,Indi,3698
1180,"Indi, Gippsland",3699
1181,Indi,3700
1182,"Indi, Gippsland",3701
1183,Indi,3704
1184,Indi,3705
1185,"Indi, Eden-Monaro, Gippsland",3707
1186,Indi,3708
1187,Indi,3709
1188,Indi,3711
1189,Indi,3712
1190,Indi,3713
1191,Indi,3714
1192,Indi,3715
1193,"Indi, McEwen",3717
1194,Indi,3718
1195,Indi,3719
1196,Indi,3720
1197,Indi,3722
1198,"Indi, Casey, Gippsland",3723
1199,,3724
1200,"Indi, Murray",3725
1201,Indi,3726
1202,Indi,3727
1203,"Indi, Murray",3728
1204,"Murray, Indi",3730
1205,Indi,3732
1206,Indi,3733
1207,Indi,3735
1208,,3736
1209,Indi,3737
1210,Indi,3738
1211,Indi,3739
1212,Indi,3740
1213,Indi,3741
1214,Indi,3744
1215,Indi,3746
1216,Indi,3747
1217,Indi,3749
1218,"Scullin, McEwen",3750
1219,McEwen,3751
1220,"Scullin, McEwen",3752
1221,McEwen,3753
1222,"Scullin, McEwen",3754
1223,McEwen,3755
1224,McEwen,3756
1225,"McEwen, Indi",3757
1226,McEwen,3758
1227,McEwen,3759
1228,McEwen,3760
1229,McEwen,3761
1230,McEwen,3762
1231,"McEwen, Indi",3763
1232,McEwen,3764
1233,"Casey, La Trobe",3765
1234,Casey,3766
1235,"Casey, La Trobe",3767
1236,Casey,3770
1237,"Casey, McEwen",3775
1238,"Casey, Indi",3777
1239,Indi,3778
1240,Indi,3779
1241,"La Trobe, McMillan",3781
1242,"Casey, La Trobe",3782
1243,"La Trobe, McMillan",3783
1244,La Trobe,3785
1245,La Trobe,3786
1246,La Trobe,3787
1247,"Casey, La Trobe",3788
1248,"Casey, La Trobe",3789
1249,"Casey, La Trobe",3791
1250,Casey,3792
1251,Casey,3793
1252,Casey,3795
1253,Casey,3796
1254,Casey,3797
1255,Casey,3799
1256,,3800
1257,Holt,3802
1258,Holt,3803
1259,"Holt, La Trobe",3804
1260,"Holt, La Trobe",3805
1261,La Trobe,3806
1262,La Trobe,3807
1263,La Trobe,3808
1264,"La Trobe, McMillan",3809
1265,"La Trobe, McMillan",3810
1266,McMillan,3812
1267,McMillan,3813
1268,McMillan,3814
1269,McMillan,3815
1270,"Flinders, McMillan",3816
1271,McMillan,3818
1272,McMillan,3820
1273,McMillan,3821
1274,McMillan,3822
1275,McMillan,3823
1276,"McMillan, Gippsland",3824
1277,"McMillan, Gippsland",3825
1278,McMillan,3831
1279,McMillan,3832
1280,McMillan,3833
1281,McMillan,3835
1282,Gippsland,3840
1283,,3841
1284,Gippsland,3842
1285,Gippsland,3844
1286,Gippsland,3847
1287,Gippsland,3850
1288,Gippsland,3851
1289,Gippsland,3852
1290,,3853
1291,"Gippsland, McMillan",3854
1292,"McMillan, Gippsland",3856
1293,Gippsland,3857
1294,Gippsland,3858
1295,Gippsland,3859
1296,Gippsland,3860
1297,Gippsland,3862
1298,Gippsland,3864
1299,Gippsland,3865
1300,Gippsland,3869
1301,Gippsland,3870
1302,"McMillan, Gippsland",3871
1303,Gippsland,3873
1304,Gippsland,3874
1305,Gippsland,3875
1306,Gippsland,3878
1307,Gippsland,3880
1308,Gippsland,3882
1309,Gippsland,3885
1310,Gippsland,3886
1311,Gippsland,3887
1312,Gippsland,3888
1313,Gippsland,3889
1314,Gippsland,3890
1315,Gippsland,3891
1316,Gippsland,3892
1317,Gippsland,3893
1318,Gippsland,3895
1319,Gippsland,3896
1320,"Gippsland, Indi",3898
1321,Gippsland,3900
1322,Gippsland,3902
1323,Gippsland,3903
1324,Gippsland,3904
1325,Gippsland,3909
1326,Dunkley,3910
1327,"Dunkley, Flinders",3911
1328,Flinders,3912
1329,Flinders,3913
1330,Flinders,3915
1331,Flinders,3916
1332,Flinders,3918
1333,Flinders,3919
1334,Flinders,3920
1335,Flinders,3921
1336,Flinders,3922
1337,Flinders,3923
1338,Flinders,3925
