,electorates,postcode
1848,Port Adelaide,5013
1849,Port Adelaide,5014
1850,Port Adelaide,5015
1851,Port Adelaide,5016
1852,Port Adelaide,5017
1853,Port Adelaide,5018
1854,"Hindmarsh, Port Adelaide",5019
1855,Hindmarsh,5020
1856,Hindmarsh,5021
1857,Hindmarsh,5022
1858,"Hindmarsh, Port Adelaide",5023
1859,Hindmarsh,5024
1860,Hindmarsh,5025
1861,"Adelaide, Hindmarsh",5031
1862,Hindmarsh,5032
1863,Hindmarsh,5033
1864,Adelaide,5034
1865,Adelaide,5035
1866,Hindmarsh,5037
1867,Hindmarsh,5038
1868,"Boothby, Hindmarsh",5039
1869,Hindmarsh,5040
1870,Boothby,5041
1871,Boothby,5042
1872,"Hindmarsh, Boothby",5043
1873,"Hindmarsh, Boothby",5044
1874,Hindmarsh,5045
1875,Boothby,5046
1876,Boothby,5047
1877,Boothby,5048
1878,Boothby,5049
1879,Boothby,5050
1880,"Boothby, Mayo",5051
1881,"Boothby, Mayo",5052
1882,Adelaide,5061
1883,Boothby,5062
1884,"Adelaide, Sturt",5063
1885,"Boothby, Sturt",5064
1886,"Adelaide, Sturt",5065
1887,Sturt,5066
1888,"Adelaide, Sturt",5067
1889,Sturt,5068
1890,Adelaide,5069
1891,"Adelaide, Sturt",5070
1892,,5071
1893,"Sturt, Mayo",5072
1894,"Sturt, Mayo",5073
1895,Sturt,5074
1896,Sturt,5075
1897,"Sturt, Mayo",5076
1898,Adelaide,5081
1899,Adelaide,5082
1900,Adelaide,5083
1901,Adelaide,5084
1902,"Adelaide, Makin",5085
1903,"Adelaide, Sturt",5086
1904,Sturt,5087
1905,Sturt,5088
1906,Sturt,5089
1907,"Makin, Sturt",5090
1908,Makin,5091
1909,Makin,5092
1910,Makin,5093
1911,"Makin, Port Adelaide",5094
1912,Makin,5095
1913,Makin,5096
1914,Makin,5097
1915,Makin,5098
1916,Makin,5106
1917,Port Adelaide,5107
1918,"Port Adelaide, Wakefield",5108
1919,"Makin, Wakefield",5109
1920,"Port Adelaide, Wakefield",5110
1921,Wakefield,5111
1922,Wakefield,5112
1923,Wakefield,5113
1924,"Makin, Wakefield, Mayo",5114
1925,Wakefield,5115
1926,Wakefield,5116
1927,Wakefield,5117
1928,Wakefield,5118
1929,Wakefield,5120
1930,Wakefield,5121
1931,Makin,5125
1932,Makin,5126
1933,Makin,5127
1934,"Makin, Mayo",5131
1935,"Sturt, Mayo",5132
1936,Mayo,5133
1937,Mayo,5134
1938,Mayo,5136
1939,Mayo,5137
1940,Mayo,5138
1941,Mayo,5139
1942,Mayo,5140
1943,Mayo,5141
1944,Mayo,5142
1945,Mayo,5144
1946,"Boothby, Sturt",5150
1947,Mayo,5151
1948,"Boothby, Mayo",5152
1949,Mayo,5153
1950,Mayo,5154
1951,Mayo,5155
1952,"Boothby, Mayo",5156
1953,"Kingston, Mayo",5157
1954,"Kingston, Boothby",5158
1955,"Boothby, Kingston, Mayo",5159
1956,Kingston,5160
1957,Kingston,5161
1958,Kingston,5162
1959,Kingston,5163
1960,Kingston,5164
1961,Kingston,5165
1962,Kingston,5166
1963,Kingston,5167
1964,"Kingston, Mayo",5168
1965,"Kingston, Mayo",5169
1966,Kingston,5170
1967,Mayo,5171
1968,Mayo,5172
1969,"Kingston, Mayo",5173
1970,"Kingston, Mayo",5174
1971,Mayo,5201
1972,Mayo,5202
1973,Mayo,5203
1974,Mayo,5204
1975,Mayo,5210
1976,Mayo,5211
1977,Mayo,5212
1978,Mayo,5213
1979,Mayo,5214
1980,Mayo,5220
1981,Mayo,5221
1982,Mayo,5222
1983,Mayo,5223
1984,Mayo,5231
1985,Mayo,5232
1986,Mayo,5233
1987,"Mayo, Barker",5234
1988,"Barker, Mayo",5235
1989,Barker,5236
1990,Barker,5237
1991,Barker,5238
1992,Mayo,5240
1993,Mayo,5241
1994,Mayo,5242
1995,Mayo,5243
1996,"Mayo, Barker",5244
1997,Mayo,5245
1998,,5246
1999,Mayo,5250
2000,Mayo,5251
2001,Mayo,5252
2002,Barker,5253
2003,"Barker, Mayo",5254
2004,"Mayo, Barker",5255
2005,Mayo,5256
2006,Barker,5259
2007,Barker,5260
2008,Barker,5261
2009,Barker,5262
2010,Barker,5263
2011,Barker,5264
2012,Barker,5265
2013,Barker,5266
2014,Barker,5267
2015,Barker,5268
2016,Barker,5269
2017,Barker,5270
2018,Barker,5271
2019,Barker,5272
2020,Barker,5273
2021,Barker,5275
2022,Barker,5276
2023,Barker,5277
2024,Barker,5278
2025,Barker,5279
2026,Barker,5280
2027,Barker,5290
2028,Barker,5291
2029,Barker,5301
2030,Barker,5302
2031,Barker,5303
2032,Barker,5304
2033,Barker,5306
2034,Barker,5307
2035,Barker,5308
2036,Barker,5309
2037,Barker,5310
2038,Barker,5311
2039,,5312
2040,"Barker, Grey",5320
2041,Barker,5321
2042,Barker,5322
2043,Barker,5330
2044,Barker,5331
2045,Barker,5332
2046,Barker,5333
2047,Barker,5340
2048,"Barker, Mallee",5341
2049,Barker,5342
2050,Barker,5343
2051,Barker,5344
2052,Barker,5345
2053,Barker,5346
2054,Wakefield,5350
2055,"Barker, Wakefield, Mayo",5351
2056,"Barker, Wakefield",5352
2057,Barker,5353
2058,Barker,5354
2059,"Barker, Wakefield",5355
2060,"Barker, Grey, Wakefield",5356
2061,Barker,5357
2062,Wakefield,5360
2063,Wakefield,5371
2064,Wakefield,5372
2065,Wakefield,5373
2066,"Grey, Barker, Wakefield",5374
2067,Grey,5381
2068,Wakefield,5400
2069,Wakefield,5401
2070,Wakefield,5410
2071,Wakefield,5411
2072,Wakefield,5412
2073,"Grey, Wakefield",5413
2074,Wakefield,5414
2075,Wakefield,5415
2076,"Grey, Wakefield",5416
2077,Grey,5417
2078,Grey,5418
2079,Grey,5419
2080,Grey,5420
2081,Grey,5421
2082,Grey,5422
2083,Grey,5431
2084,Grey,5432
2085,Grey,5433
2086,Grey,5434
2087,Grey,5440
2088,Wakefield,5451
2089,Wakefield,5452
2090,"Wakefield, Grey",5453
2091,Grey,5454
2092,Wakefield,5455
2093,Wakefield,5460
2094,"Grey, Wakefield",5461
2095,Grey,5462
2096,"Grey, Wakefield",5464
2097,Grey,5470
2098,Grey,5471
2099,Grey,5472
2100,Grey,5473
2101,Grey,5480
2102,Grey,5481
2103,Grey,5482
2104,Grey,5483
2105,Grey,5485
2106,Grey,5490
2107,Grey,5491
2108,Grey,5493
2109,Grey,5495
2110,Wakefield,5501
2111,Wakefield,5502
2112,Grey,5510
2113,Grey,5520
2114,Grey,5521
2115,Grey,5522
2116,Grey,5523
2117,Grey,5540
2118,"Wakefield, Grey",5550
2119,Grey,5552
2120,Grey,5554
2121,Grey,5555
2122,Grey,5556
2123,Grey,5558
2124,Grey,5560
2125,Grey,5570
2126,Grey,5571
2127,Grey,5572
2128,Grey,5573
2129,Grey,5575
2130,Grey,5576
2131,Grey,5577
2132,Grey,5580
2133,Grey,5581
2134,Grey,5582
2135,Grey,5583
2136,Grey,5600
2137,Grey,5601
2138,Grey,5602
2139,Grey,5603
2140,Grey,5604
2141,Grey,5605
2142,Grey,5606
2143,Grey,5607
2144,Grey,5608
2145,Grey,5609
2146,Grey,5630
2147,Grey,5631
2148,Grey,5632
2149,Grey,5633
2150,Grey,5640
2151,Grey,5641
2152,Grey,5642
2153,Grey,5650
2154,Grey,5651
2155,Grey,5652
2156,Grey,5653
2157,Grey,5654
2158,Grey,5655
2159,Grey,5660
2160,Grey,5661
2161,Grey,5670
2162,Grey,5671
2163,Grey,5680
2164,Grey,5690
2165,Grey,5700
2166,Grey,5710
2167,Grey,5720
2168,Grey,5722
2169,Grey,5723
2170,Grey,5724
2171,Grey,5725
2172,Grey,5730
2173,Grey,5731
2174,Grey,5732
2175,Grey,5733
2176,Grey,5734
2177,,5800
2178,,5810
2179,,5839
2180,,5860
2181,,5861
2182,,5862
2183,,5863
2184,,5864
2185,,5865
2186,,5866
2187,,5867
2188,,5868
2189,,5869
2190,,5870
2191,,5871
2192,,5872
2193,,5873
2194,,5874
2195,,5875
2196,,5876
2197,,5877
2198,,5878
2199,,5879
2200,,5880
2201,,5881
2202,,5882
2203,,5883
2204,,5884
2205,,5885
2206,,5886
2207,,5887
2208,,5888
2209,,5889
2210,,5890
2211,,5891
2212,,5892
2213,,5893
2214,,5894
2215,,5895
2216,,5896
2217,,5897
2218,,5898
2219,,5899
2220,,5900
2221,,5901
2222,,5902
2223,,5903
2224,,5904
2225,,5920
2226,,5942
2227,Hindmarsh,5950
2228,Perth,6000
2229,,6001
2230,Perth,6003
2231,Perth,6004
2232,Perth,6005
2233,Perth,6006
2234,"Curtin, Perth",6007
2235,Curtin,6008
2236,Curtin,6009
2237,Curtin,6010
2238,Curtin,6011
2239,Curtin,6012
2240,Curtin,6014
2241,Curtin,6015
2242,"Curtin, Perth",6016
2243,"Curtin, Stirling, Perth",6017
2244,"Curtin, Stirling",6018
2245,"Curtin, Stirling",6019
2246,"Moore, Stirling",6020
2247,Stirling,6021
2248,Stirling,6022
2249,Moore,6023
2250,Cowan,6024
2251,Moore,6025
2252,"Cowan, Moore",6026
2253,Moore,6027
2254,Moore,6028
2255,Stirling,6029
2256,Pearce,6030
2257,Pearce,6031
2258,Pearce,6032
2259,Pearce,6033
2260,Pearce,6034
2261,Pearce,6035
2262,Pearce,6036
2263,Pearce,6037
2264,Pearce,6038
2265,Pearce,6041
2266,Pearce,6042
2267,Pearce,6043
2268,"Pearce, Durack",6044
2269,"Perth, Stirling",6050
2270,Perth,6051
2271,"Perth, Stirling",6052
2272,Perth,6053
2273,"Cowan, Perth",6054
2274,"Hasluck, Pearce, Swan",6055
2275,"Hasluck, Pearce",6056
2276,"Hasluck, Swan",6057
2277,"Hasluck, Swan",6058
2278,"Perth, Stirling",6059
2279,Stirling,6060
2280,Stirling,6061
2281,"Perth, Stirling",6062
2282,Cowan,6063
2283,Cowan,6064
2284,Cowan,6065
2285,Cowan,6066
2286,Cowan,6067
2287,Cowan,6068
2288,Pearce,6069
2289,Hasluck,6070
2290,Hasluck,6071
2291,Hasluck,6072
2292,Hasluck,6073
2293,Hasluck,6074
2294,"Hasluck, Canning",6076
2295,Cowan,6077
2296,Pearce,6078
2297,Pearce,6079
2298,Hasluck,6081
2299,Hasluck,6082
2300,"Hasluck, Pearce",6083
2301,Pearce,6084
2302,Cowan,6090
2303,Swan,6100
2304,Swan,6101
2305,Swan,6102
2306,Swan,6103
2307,Swan,6104
2308,Swan,6105
2309,"Hasluck, Swan",6106
2310,"Hasluck, Swan",6107
2311,Burt,6108
2312,"Hasluck, Canning",6109
2313,"Burt, Canning",6110
2314,"Burt, Canning",6111
2315,"Burt, Canning",6112
2316,Canning,6121
2317,Canning,6122
2318,Canning,6123
2319,Canning,6124
2320,Canning,6125
2321,Canning,6126
2322,"Burt, Tangney",6147
2323,Tangney,6148
2324,Tangney,6149
2325,Tangney,6150
2326,Swan,6151
2327,Swan,6152
2328,Tangney,6153
2329,Tangney,6154
2330,"Burt, Tangney",6155
2331,Tangney,6156
2332,"Fremantle, Tangney",6157
2333,Fremantle,6158
2334,Fremantle,6159
2335,Fremantle,6160
2336,Fremantle,6161
2337,Fremantle,6162
2338,"Fremantle, Tangney",6163
2339,Fremantle,6164
2340,Brand,6165
2341,Fremantle,6166
2342,Brand,6167
2343,Brand,6168
2344,Brand,6169
2345,Brand,6170
2346,Brand,6171
2347,Brand,6172
2348,Brand,6173
2349,Brand,6174
2350,Brand,6175
2351,Brand,6176
2352,Canning,6180
2353,Canning,6181
2354,,6182
2355,Canning,6207
2356,Canning,6208
2357,Canning,6209
2358,Canning,6210
2359,Canning,6211
2360,Canning,6213
2361,Canning,6214
2362,Canning,6215
2363,Forrest,6218
2364,Forrest,6220
2365,Forrest,6221
2366,Forrest,6223
2367,Forrest,6224
2368,"""OConnor"", Forrest",6225
2369,Forrest,6226
2370,Forrest,6227
2371,Forrest,6228
2372,Forrest,6229
2373,Forrest,6230
2374,,6231
2375,Forrest,6232
2376,Forrest,6233
2377,Forrest,6236
2378,Forrest,6237
2379,Forrest,6239
2380,Forrest,6240
2381,"Forrest, ""OConnor""",6243
2382,OConnor,6244
2383,Forrest,6251
2384,Forrest,6252
2385,Forrest,6253
2386,OConnor,6254
2387,OConnor,6255
2388,OConnor,6256
2389,"""OConnor"", Forrest",6258
2390,"Forrest, ""OConnor""",6260
2391,OConnor,6262
2392,Forrest,6271
2393,Forrest,6275
2394,Forrest,6280
2395,Forrest,6281
2396,Forrest,6282
2397,Forrest,6284
2398,Forrest,6285
2399,Forrest,6286
2400,Forrest,6288
2401,Forrest,6290
2402,Pearce,6302
2403,Pearce,6304
2404,OConnor,6306
2405,OConnor,6308
2406,OConnor,6309
2407,OConnor,6311
2408,OConnor,6312
2409,OConnor,6313
2410,OConnor,6315
2411,OConnor,6316
2412,OConnor,6317
2413,OConnor,6318
2414,OConnor,6320
2415,OConnor,6321
2416,OConnor,6322
2417,OConnor,6323
2418,OConnor,6324
2419,OConnor,6326
2420,OConnor,6327
2421,OConnor,6328
2422,OConnor,6330
2423,,6331
2424,,6332
2425,OConnor,6333
2426,OConnor,6335
2427,OConnor,6336
2428,OConnor,6337
2429,OConnor,6338
2430,OConnor,6341
2431,OConnor,6343
2432,OConnor,6346
2433,OConnor,6348
2434,OConnor,6350
2435,OConnor,6351
2436,OConnor,6352
2437,OConnor,6353
2438,OConnor,6355
2439,OConnor,6356
2440,OConnor,6357
2441,OConnor,6358
2442,OConnor,6359
2443,OConnor,6361
2444,OConnor,6363
2445,OConnor,6365
2446,OConnor,6367
2447,Durack,6368
2448,Durack,6369
2449,OConnor,6370
2450,OConnor,6372
2451,OConnor,6373
2452,OConnor,6375
2453,Durack,6383
2454,Durack,6384
2455,Durack,6385
2456,Durack,6386
2457,"Canning, ""OConnor""",6390
2458,"Canning, ""OConnor""",6391
2459,OConnor,6392
2460,OConnor,6393
2461,OConnor,6394
2462,OConnor,6395
2463,OConnor,6396
2464,OConnor,6397
2465,OConnor,6398
2466,"Durack, Pearce",6401
2467,Pearce,6403
2468,Durack,6405
2469,Durack,6407
2470,Durack,6409
2471,Durack,6410
2472,Durack,6411
2473,Durack,6412
2474,Durack,6413
2475,Durack,6414
2476,Durack,6415
2477,Durack,6418
2478,Durack,6419
2479,Durack,6420
2480,Durack,6421
2481,Durack,6422
2482,Durack,6423
2483,Durack,6424
2484,Durack,6425
2485,Durack,6426
2486,Durack,6427
2487,Durack,6428
2488,OConnor,6429
2489,OConnor,6430
2490,OConnor,6431
2491,OConnor,6432
2492,,6433
2493,OConnor,6434
2494,,6435
2495,OConnor,6436
2496,OConnor,6437
2497,OConnor,6438
2498,OConnor,6440
2499,OConnor,6442
2500,OConnor,6443
2501,OConnor,6445
2502,OConnor,6446
2503,OConnor,6447
2504,OConnor,6448
2505,OConnor,6450
2506,,6452
2507,Durack,6460
2508,Durack,6461
2509,Durack,6462
2510,Durack,6463
2511,Durack,6465
2512,Durack,6466
2513,Durack,6467
2514,Durack,6468
2515,Durack,6470
2516,Durack,6472
2517,Durack,6473
2518,Durack,6475
2519,Durack,6476
2520,Durack,6477
2521,Durack,6479
2522,Durack,6480
2523,Durack,6484
2524,Durack,6485
2525,Durack,6487
2526,Durack,6488
2527,Durack,6489
2528,Durack,6490
2529,Pearce,6501
2530,Pearce,6502
2531,Pearce,6503
2532,Pearce,6504
2533,Pearce,6505
2534,Durack,6506
2535,Durack,6507
2536,Durack,6509
2537,Durack,6510
2538,Durack,6511
2539,Durack,6512
2540,Durack,6513
2541,Durack,6514
2542,Durack,6515
2543,Durack,6516
2544,Durack,6517
2545,Durack,6518
2546,Durack,6519
2547,Durack,6521
2548,Durack,6522
2549,Durack,6525
2550,Durack,6528
2551,Durack,6530
2552,,6531
2553,Durack,6532
2554,Durack,6535
2555,Durack,6536
2556,Durack,6537
2557,Hasluck,6556
2558,Hasluck,6558
2559,Pearce,6560
2560,Pearce,6562
2561,Pearce,6564
2562,"Durack, Pearce",6566
2563,Pearce,6567
2564,"Durack, Pearce",6568
2565,Durack,6569
2566,Durack,6571
2567,Durack,6572
2568,Durack,6574
2569,Durack,6575
2570,Durack,6603
2571,Durack,6605
2572,Durack,6606
2573,Durack,6608
2574,Durack,6609
2575,Durack,6612
2576,Durack,6613
2577,Durack,6614
2578,Durack,6616
2579,Durack,6620
2580,Durack,6623
2581,Durack,6625
2582,Durack,6627
2583,Durack,6628
2584,Durack,6630
2585,Durack,6631
2586,Durack,6632
2587,Durack,6635
2588,Durack,6638
2589,Durack,6639
2590,Durack,6640
2591,Durack,6642
2592,Durack,6646
2593,Durack,6701
2594,Durack,6705
2595,Durack,6707
2596,Durack,6710
2597,,6711
2598,Durack,6712
2599,Durack,6713
2600,Durack,6714
2601,Durack,6716
2602,Durack,6718
2603,Durack,6720
2604,Durack,6721
2605,Durack,6722
2606,,6723
2607,Durack,6725
2608,Durack,6726
2609,Durack,6728
2610,,6731
2611,,6733
2612,Durack,6740
2613,Durack,6743
2614,Durack,6751
2615,Durack,6753
2616,Durack,6754
2617,Durack,6758
2618,Durack,6760
2619,,6761
2620,Durack,6762
2621,Durack,6765
2622,Durack,6770
2623,Lingiari,6798
2624,Lingiari,6799
2625,,6800
2626,,6803
2627,,6809
2628,,6817
2629,,6820
2630,,6827
2631,,6830
2632,,6831
2633,,6832
2634,,6837
2635,,6838
2636,,6839
2637,,6840
2638,,6841
2639,,6842
2640,,6843
2641,,6844
2642,,6845
2643,,6846
2644,,6847
2645,,6848
2646,,6849
2647,,6850
2648,,6865
2649,,6872
2650,,6892
2651,,6900
2652,,6901
2653,,6902
2654,,6903
2655,,6904
2656,,6905
2657,,6906
2658,,6907
2659,,6909
2660,,6910
2661,,6911
2662,,6912
2663,,6913
2664,,6914
2665,,6915
2666,,6916
2667,,6917
2668,,6918
2669,,6919
2670,,6920
2671,,6921
2672,,6922
2673,,6923
2674,,6924
2675,,6925
2676,,6926
2677,,6929
2678,,6931
2679,,6932
2680,,6933
2681,,6934
2682,,6935
2683,,6936
2684,,6937
2685,,6938
2686,,6939
2687,,6940
2688,,6941
2689,,6942
2690,,6943
2691,,6944
2692,,6945
2693,,6946
2694,,6947
2695,,6951
2696,,6952
2697,,6953
2698,,6954
2699,,6955
2700,,6956
2701,,6957
2702,,6958
2703,,6959
2704,,6960
2705,,6961
2706,,6963
2707,,6964
2708,,6965
2709,,6966
2710,,6967
2711,,6968
2712,,6969
2713,,6970
2714,,6979
2715,,6980
2716,,6981
2717,,6982
2718,,6983
2719,,6984
2720,,6985
2721,,6986
2722,,6987
2723,,6988
2724,,6989
2725,,6990
2726,,6991
2727,,6992
2728,,6997
2729,Denison,7000
2730,,7001
2731,,7002
2732,Denison,7004
2733,Denison,7005
2734,,7006
2735,Denison,7007
2736,Denison,7008
2737,Denison,7009
2738,Denison,7010
2739,"Denison, Lyons",7011
2740,"Denison, Lyons",7012
2741,Franklin,7015
2742,Franklin,7016
2743,"Franklin, Lyons",7017
2744,Franklin,7018
2745,Franklin,7019
2746,Franklin,7020
2747,Franklin,7021
2748,Franklin,7022
2749,Franklin,7023
2750,Franklin,7024
2751,"Franklin, Lyons",7025
2752,"Franklin, Lyons",7026
2753,Lyons,7027
2754,"Denison, Lyons",7030
2755,"Denison, Franklin",7050
2756,,7051
2757,Franklin,7052
2758,Denison,7053
2759,"Denison, Franklin",7054
2760,Franklin,7055
2761,"Denison, Franklin",7109
2762,Franklin,7112
2763,Franklin,7113
2764,Franklin,7116
2765,Franklin,7117
2766,Lyons,7119
2767,Lyons,7120
2768,Lyons,7139
2769,Lyons,7140
2770,"Franklin, Denison",7150
2771,,7151
2772,Franklin,7155
2773,Franklin,7162
2774,Franklin,7163
2775,Franklin,7170
2776,Lyons,7171
2777,"Franklin, Lyons",7172
2778,Lyons,7173
2779,Lyons,7174
2780,Lyons,7175
2781,Lyons,7176
2782,Lyons,7177
2783,Lyons,7178
2784,Lyons,7179
2785,Lyons,7180
2786,Lyons,7182
2787,Lyons,7183
2788,Lyons,7184
2789,Lyons,7185
2790,Lyons,7186
2791,Lyons,7187
2792,Lyons,7190
2793,Lyons,7209
2794,Lyons,7210
2795,Lyons,7211
2796,"Bass, Lyons",7212
2797,Lyons,7213
2798,Lyons,7214
2799,Lyons,7215
2800,Lyons,7216
2801,Bass,7248
2802,"Bass, Lyons",7249
2803,"Bass, Lyons",7250
2804,Bass,7252
2805,Bass,7253
2806,Bass,7254
2807,Bass,7255
2808,Braddon,7256
2809,Bass,7257
2810,"Bass, Lyons",7258
2811,Bass,7259
2812,Bass,7260
2813,Bass,7261
2814,Bass,7262
2815,Bass,7263
2816,"Bass, Lyons",7264
2817,Bass,7265
2818,Bass,7267
2819,Bass,7268
2820,Lyons,7270
2821,Lyons,7275
2822,Lyons,7276
2823,"Bass, Lyons",7277
2824,"Bass, Lyons",7290
2825,Lyons,7291
2826,Lyons,7292
2827,Lyons,7300
2828,Lyons,7301
2829,Lyons,7302
2830,Lyons,7303
2831,Lyons,7304
2832,Lyons,7305
2833,Lyons,7306
2834,"Lyons, Braddon",7307
2835,"Braddon, Lyons",7310
2836,Braddon,7315
2837,Braddon,7316
2838,Braddon,7320
2839,Braddon,7321
2840,Braddon,7322
2841,Braddon,7325
2842,Braddon,7330
2843,Braddon,7331
2844,Braddon,7466
2845,Braddon,7467
2846,Braddon,7468
2847,Braddon,7469
2848,Braddon,7470
2849,,7800
2850,,7802
2851,,7803
2852,,7804
2853,,7805
2854,,7806
2855,,7807
2856,,7808
2857,,7809
2858,,7810
2859,,7811
2860,,7812
2861,,7813
2862,,7814
2863,,7823
2864,,7824
2865,,7827
2866,,7828
2867,,7829
2868,,7845
2869,,7850
2870,,7901
2871,,7902
2872,,7903
2873,,7904
2874,,7905
2875,,7906
2876,,7907
2877,,7908
2878,,7909
2879,,7910
2880,,7911
2881,,7912
2882,,7913
2883,,7914
2884,,7915
2885,,7916
2886,,7917
2887,,7918
2888,,7919
2889,,7920
2890,,7921
2891,,7922
2892,,7923
